Year,Cases,Rate
2015,9557,3.0
2014,9406,2.9
2013,9550,3.0
2012,9942,3.2
2011,10510,3.4
2010,11159,3.6
2009,11520,3.8
2008,12893,4.2
2007,13282,4.4
2006,13728,4.6
2005,14060,4.8
2004,14499,5.0
2003,14835,5.1
2002,15055,5.2
2001,15945,5.6
2000,16308,5.8
1999,17499,6.3
1998,18286,6.6
1997,19751,7.2
1996,21210,7.9
1995,22726,8.5
1994,24206,9.2
1993,25102,9.7
1992,26673,10.4
1991,26283,10.4
1990,25701,10.3
1989,23495,9.5
1988,22436,9.2
1987,22517,9.3
1986,22768,9.5
1985,22201,9.3
1984,22255,9.4
1983,23846,10.2
1982,25520,11.0
1981,27373,11.9
1980,27749,12.2
1979,27669,12.3
1978,28521,12.8
1977,30145,13.7
1976,32105,14.7
1975,33989,15.7
1974,30122,14.1
1973,30998,14.6
1972,32882,15.7
1971,35217,17.0
1970,37137,18.1
1969,39120,19.3
1968,42623,21.2
1967,45647,23.0
1966,47767,24.3
1965,49016,25.2
1964,50874,26.5
1963,54042,28.6
1962,53315,28.6
1961,53726,29.2
1960,55494,30.7
1959,57535,32.4
1958,63534,36.3
1957,67149,39.0
1956,69895,41.4
1955,77368,46.6
1954,79775,48.9
1953,84304,52.6